curtime;CloudMeanPopulation;CloudletMeanPopulation;GlobalMeanPopulation;CloudMeanThroughput;CloudletMeanThroughput;GlobalMeanThroughput;CloudMeanServiceTime;CloudletMeanServiceTime;GlobalMeanServiceTime;
0.05610051238228113;0.0;1.0;1.0;0.0;17.825149139205394;17.825149139205394;0.0;0.0;0.0;
0.12274959057931552;0.0;1.5;1.5;0.0;17.05924125321858;17.05924125321858;0.0;0.0;0.0;
0.13060002035194426;0.0;2.0;2.0;0.0;19.02979414966365;19.02979414966365;0.0;0.0;0.0;
0.13572391030753433;0.25;2.25;2.5;1.8419746338985485;19.798269513943385;21.640244147841933;0.0;0.0;0.0;
0.17545807971911193;0.4;2.2;2.6;2.613453119162199;19.258235847284787;21.87168896644699;0.0;0.1193575673368308;0.1193575673368308;
0.2762814727023381;0.5;2.3333333333333335;2.8333333333333335;2.781127122465592;18.46152796539236;21.242655087857955;0.0;0.1193575673368308;0.1193575673368308;
0.331925504774064;0.7142857142857143;2.428571428571429;3.142857142857143;3.2446015899703142;17.545723511764493;20.790325101734812;0.0;0.1193575673368308;0.1193575673368308;
0.3433608776517151;1.0;2.5;3.5;3.9311717822909067;16.808701927549773;20.739873709840683;0.0;0.1193575673368308;0.1193575673368308;
0.6580343395339365;1.3333333333333333;2.5555555555555554;3.888888888888889;4.169787153310845;15.616480615763171;19.78626776907402;0.0;0.1193575673368308;0.1193575673368308;
0.7828761044948234;1.7;2.5999999999999996;4.3;4.391479100079789;14.565769083866877;18.957248183946668;0.0;0.1193575673368308;0.1193575673368308;
0.8575933760825206;2.0;2.545454545454545;4.545454545454545;4.5222781739213485;13.665627815321665;18.187905989243013;0.0;0.4271006764200179;0.4271006764200179;
0.9812469257575409;2.25;2.583333333333333;4.833333333333333;4.570051439893194;12.951455277843484;17.521506717736678;0.0;0.4271006764200179;0.4271006764200179;
1.0024548878107278;2.5384615384615383;2.615384615384615;5.153846153846153;4.6789172324731085;12.338862996434504;17.01778022890761;0.0;0.4271006764200179;0.4271006764200179;
1.007462604529476;2.8571428571428568;2.6428571428571423;5.499999999999999;4.841005195434737;11.812013022910401;16.65301821834514;0.0;0.4271006764200179;0.4271006764200179;
1.0282327396778916;3.1999999999999997;2.666666666666666;5.866666666666665;5.036960828725181;11.348726308666015;16.385687137391198;0.0;0.4271006764200179;0.4271006764200179;
1.071057833358029;3.5625;2.6874999999999996;6.249999999999999;5.247332501465146;10.931198539116217;16.178531040581365;0.0;0.4271006764200179;0.4271006764200179;
1.1034417804030636;3.9411764705882355;2.705882352941176;6.647058823529411;5.471757257073572;10.55473254701551;16.026489804089085;0.0;0.4271006764200179;0.4271006764200179;
1.3686258034459027;4.333333333333334;2.722222222222222;7.055555555555555;5.614285129392096;10.171319601444118;15.785604730836216;0.0;0.4271006764200179;0.4271006764200179;
1.3938378225495875;4.736842105263158;2.7368421052631575;7.473684210526316;5.771918700625146;9.8247879334475;15.596706634072646;0.0;0.4271006764200179;0.4271006764200179;
1.5695372634898173;5.15;2.7499999999999996;7.9;5.8974575651428625;9.492831151986268;15.390288717129131;0.0;0.4271006764200179;0.4271006764200179;
1.5899726151324485;5.571428571428572;2.7619047619047614;8.333333333333334;6.0359206858435455;9.190539585222588;15.226460271066134;0.0;0.4271006764200179;0.4271006764200179;
1.617437678889582;6.000000000000001;2.7727272727272725;8.772727272727273;6.183102820229289;8.913301841081106;15.096404661310395;0.0;0.4271006764200179;0.4271006764200179;
1.6584072542228048;6.347826086956522;2.782608695652174;9.130434782608697;6.307525434739104;8.656851369062435;14.96437680380154;0.06843463909035638;0.4271006764200179;0.3075453306434641;
1.7380555389239094;6.625000000000001;2.7916666666666665;9.416666666666668;6.404309129478126;8.41601498019144;14.820324109669567;0.8353831338533658;0.4271006764200179;0.6312419051366919;
1.810234909136175;6.920000000000001;2.8;9.72;6.501682039981151;8.189857279634454;14.691539319615606;0.8353831338533658;0.4271006764200179;0.6312419051366919;
1.9263129589256436;7.230769230769232;2.8076923076923075;10.038461538461538;6.591046176127511;7.974694777700398;14.565740953827909;0.8353831338533658;0.4271006764200179;0.6312419051366919;
2.1243579771828256;7.518518518518519;2.7777777777777777;10.296296296296296;6.643319197661663;7.766508018586762;14.409827216248425;0.8353831338533658;0.6657708014217735;0.7336157343944104;
2.5292846762192616;7.750000000000001;2.75;10.5;6.646103081240272;7.55973428617781;14.205837367418082;1.1806722014640187;0.6657708014217735;0.9232215014428962;
2.543302170925043;7.965517241379311;2.7586206896551726;10.724137931034482;6.647417576561089;7.3804033689531465;14.027820945514236;1.1806722014640187;0.6657708014217735;0.9232215014428962;
2.5720230629479817;8.133333333333335;2.766666666666667;10.899999999999999;6.646156425143452;7.212149723721751;13.858306148865205;1.2778961948823275;0.6657708014217735;1.0155567405420902;
2.6059505228575155;8.322580645161292;2.774193548387097;11.096774193548386;6.654579395806497;7.053771437103822;13.70835083291032;1.2778961948823275;0.6657708014217735;1.0155567405420902;
2.7005677310325185;8.531250000000002;2.78125;11.312499999999998;6.666484966719748;6.902770925072918;13.569255891792668;1.2778961948823275;0.6657708014217735;1.0155567405420902;
2.7114380819399364;8.75757575757576;2.787878787878788;11.545454545454543;6.687990258213685;6.760652044792099;13.448642303005785;1.2778961948823275;0.6657708014217735;1.0155567405420902;
2.7395867428540313;8.941176470588237;2.794117647058824;11.735294117647056;6.706001460693692;6.626224377085277;13.33222583777897;1.3495459483960555;0.6657708014217735;1.0931302682806998;
