curtime;CloudMeanPopulation;CloudletMeanPopulation;GlobalMeanPopulation;CloudMeanThroughput;CloudletMeanThroughput;GlobalMeanThroughput;CloudMeanServiceTime;CloudletMeanServiceTime;GlobalMeanServiceTime;
8032.441637118675;40.92855555698845;2.906381336816125;43.83493689380408;9.32220565652958;0.9369011153719928;10.259106771901559;1.9108599288749382;0.15868895706254108;2.0770274582164436;
8045.263205273804;40.927281709479935;2.906345596932413;43.833627306411856;9.322226770699702;0.9368892976491443;10.259116068348822;2.0120613124026265;0.1342543040325601;2.1426855425401112;
8057.060621067376;40.920740688588786;2.906406624100036;43.82714731268838;9.322247629943828;0.9368775176638412;10.259125147607623;2.062541657992909;0.08545894696056838;2.12601394626527;
8070.0440491614;40.92263931462335;2.90643721151477;43.82907652613768;9.322270205354718;0.936865110222194;10.259135315576874;2.0456753175881666;0.12212921719952735;2.1591073871140942;
8081.58493266627;40.91959579368293;2.906483661351128;43.82607945503359;9.322292190229485;0.9368522629211787;10.259144453150638;1.9103363489347416;0.07329585985764349;1.9612532688236526;
8093.749166967174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8106.893289956314;40.93438772000297;2.906524177927126;43.84091189792957;9.322341473891607;0.9368255063685357;10.259166980260142;2.045806768480193;0.183311079597705;2.2417874917095095;
8120.488271076216;40.927292987412144;2.9064803696863852;43.833773357098124;9.32236404634262;0.9368123373718128;10.259176383714408;1.8091136613494625;0.19549350477422486;2.0274623679436568;
8132.066346540249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8144.59058081538;40.92828720937217;2.906414942548183;43.834702151919856;9.322405544474124;0.9367882874412219;10.259193831915354;1.9953218226375335;0.048836815950968;2.011029933134413;
8156.0778019428335;40.94088384761059;2.9064882755436616;43.847372123153754;9.322427864408295;0.9367756585749507;10.259203522983242;2.029333492046258;0.1343885020023753;2.1597259504459685;
8168.0886886803055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8179.966903032374;40.95750542273677;2.906550468120383;43.8640558908567;9.322477842521963;0.9367502665854255;10.259228109107399;1.9961269134168584;0.13440329106982524;2.1274012828165456;
8194.427218289631;40.95858818123287;2.9065397815066185;43.86512796273906;9.322503099595963;0.9367374761722503;10.259240575768219;1.9116988178167302;0.20770359201522082;2.144048527512006;
8206.953546042994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8219.085062458038;40.9682260659411;2.906513250330548;43.874739316271224;9.322547648867166;0.9367128325939372;10.25926048146111;2.0815164906833323;0.10992825358233971;2.1775982502708757;
8231.810929671843;40.972614381459145;2.906509418541516;43.87912380000017;9.322570173844374;0.936700372379896;10.259270546224299;1.895842918112314;0.17102792409781079;2.0791134231170645;
8245.133405427816;40.9718070600482;2.9065426488808925;43.87834970892872;9.322591840915768;0.9366880739926554;10.259279914908474;2.1328200170301055;0.10994303485900338;2.2276225895597004;
8259.285034857245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8271.894553651866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8284.791112743234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8296.41028391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8310.931518289575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8325.578053470379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8339.655924509612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8353.40195096013;40.941277883370326;2.9066107261796583;43.84788860954949;9.322705954997755;0.9365883835173952;10.259294338515154;2.065813956796104;0.14668537269547546;2.211904928494227;
8363.90883070062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8375.84678602755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8389.108679773071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8401.199906662074;40.97035180133182;2.906653617695398;43.87700541902676;9.322740461391843;0.936535071457343;10.259275532849218;1.948038407930562;0.11007621662974332;2.047676131882233;
8414.102235178514;40.967245329625236;2.9066611896428736;43.87390651926759;9.322749541100759;0.9365214708772595;10.259271011978083;1.9309402482468474;0.17124965221418492;2.113599129342363;
8426.804639114825;40.964604123100024;2.9066110929734927;43.87121521607294;9.32275773104475;0.9365082682747808;10.259265999319586;2.049634815152443;0.13450065320080554;2.1796878948375036;
8439.855474631366;40.96240497775734;2.9065535997220344;43.86895857747875;9.322764865906455;0.9364950405833457;10.259259906489849;1.8800796045863528;0.14674387155859014;2.0309270159898376;
8450.818553532345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8464.595173545184;40.96608248978802;2.906528809662759;43.87261129945015;9.322782128394998;0.9364687540254518;10.25925088242051;2.015559174968599;0.19561078422063422;2.2289891393102828;
8476.720870614323;40.9586508534204;2.9065157506925474;43.86516660411226;9.322789074871501;0.9364561019981518;10.259245176869719;1.8969340099082248;0.13446531809564444;2.030778559625104;
8489.1564159264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8501.527329490238;40.95504366626405;2.9065530322042146;43.861596698467665;9.322803072773619;0.936431297059524;10.259234369833191;2.1168081818671944;0.06111475768569001;2.1460471262298575;
8514.176178581043;40.95566580312939;2.906601674094385;43.862267477223206;9.322811176126589;0.9364183090984048;10.259229485225035;2.032091686346201;0.12230130798897157;2.146118191643757;
8525.244470409636;40.957628340312155;2.906650969189435;43.86427930950106;9.322820059081854;0.9364048394202309;10.2592248985021;2.0320365786407426;0.0734294237638121;2.080145751379892;
8538.27797136138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8549.617356104367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8559.600781243778;40.96995903952857;2.906822114746672;43.87678115427468;9.322857468231213;0.9363601773203258;10.259217645551546;2.0315921716929486;0.14706231075058093;2.179057936164402;
8570.862348147153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8582.605731150967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
