curtime;CloudMeanPopulation;CloudletMeanPopulation;GlobalMeanPopulation;CloudMeanThroughput;CloudletMeanThroughput;GlobalMeanThroughput;CloudMeanServiceTime;CloudletMeanServiceTime;GlobalMeanServiceTime;
16.43675968113085;23.875;2.84765625;26.72265625;7.727973919284982;2.1494802555108743;9.877454174795853;0.0;0.0;0.0;
29.66700676015029;40.50390625;2.91015625;43.4140625;7.975187372337576;1.3506337762366158;9.325821148574198;0.0;0.0;0.0;
40.362950670340204;42.0703125;2.91796875;44.98828125;8.626645350911627;1.2576755605283907;9.884320911440014;0.0;0.0;0.0;
51.42643572537889;48.484375;2.8984375;51.3828125;9.21737105047188;1.1908719419930007;10.408242992464873;0.0;0.0;0.0;
63.389676609800084;47.56640625;2.90625;50.47265625;9.348825179457288;1.1664735110311513;10.515298690488438;0.0;0.0;0.0;
76.0085583238814;38.50390625;2.87109375;41.375;9.349738935332873;1.0996302168126622;10.449369152145529;0.0;0.0;0.0;
88.65683342396575;37.71484375;2.8515625;40.56640625;9.270250270130632;1.1014075573141655;10.371657827444793;0.0;0.0;0.0;
101.34548341699065;41.50390625;2.85546875;44.359375;9.298297417620628;1.1078216682340314;10.406119085854664;0.0;0.0;0.0;
114.5148806062696;41.85546875;2.8828125;44.73828125;9.278605554136949;1.1189011520581378;10.397506706195092;0.0;0.0;0.0;
127.47982924276569;36.4375;2.890625;39.328125;9.189879503552332;1.0984747976381108;10.288354301190443;0.0;0.0;0.0;
139.95860622112207;42.01953125;2.90625;44.92578125;9.19220676971649;1.125316235533896;10.317523005250381;0.0;0.0;0.0;
154.95364776572745;35.0625;2.9296875;37.9921875;9.091931392970809;1.0945886974585481;10.186520090429362;0.0;0.0;0.0;
166.6824998260214;47.05859375;2.96875;50.02734375;9.117616766935889;1.059659843194801;10.177276610130685;0.0;0.0;0.0;
178.72249460488788;43.5859375;2.921875;46.5078125;9.203621786212773;1.0359033381786547;10.239525124391433;0.0;0.0;0.0;
191.55131208724754;39.328125;2.90234375;42.23046875;9.22605378583781;1.007360561414768;10.233414347252582;0.0;0.0;0.0;
203.36266945697375;42.34375;2.9375;45.28125;9.234212684411634;1.014031522962149;10.24824420737378;0.0;0.0;0.0;
216.20418964524285;41.21875;2.93359375;44.15234375;9.258127724723145;1.001354187785485;10.259481912508635;0.0;0.0;0.0;
228.96355897124292;37.296875;2.90625;40.203125;9.22744850601126;0.9952760477150702;10.22272455372633;0.0;0.0;0.0;
242.71214517323776;39.7109375;2.94140625;42.65234375;9.227356408803795;0.983935051528486;10.211291460332282;0.0;0.0;0.0;
254.59494017990593;37.1953125;2.9296875;40.125;9.22882515146841;0.9756270620067606;10.204452213475182;0.0;0.0;0.0;
267.3046211001391;32.77734375;2.90625;35.68359375;9.235481621914031;0.9749177395515839;10.210399361465614;0.0;0.0;0.0;
280.77309934382356;37.953125;2.9296875;40.8828125;9.224313447415772;0.9691592986785258;10.193472746094297;0.0;0.0;0.0;
292.4834538656984;43.0390625;2.94140625;45.98046875;9.250864460603788;0.9619571927357594;10.212821653339553;0.0;0.0;0.0;
